InvoiceNo,StockCode,Description,Quantity,UnitPrice,importe_linea,CustomerID,Country,mes_compra,dia_semana,alto_valor_transaccion
566647,22704,WRAP RED APPLES,50,0.42,21.0,18001,UNITED KINGDOM,9,2,1
550513,85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,1,4.25,4.25,16928,UNITED KINGDOM,4,0,0
569330,23026,DRAWER KNOB VINTAGE GLASS STAR,2,2.08,4.16,15311,UNITED KINGDOM,10,0,0
549295,21731,RED TOADSTOOL LED NIGHT LIGHT,2,3.29,6.58,SIN_CLIENTE,UNITED KINGDOM,4,3,0
548373,21929,JUMBO BAG PINK VINTAGE PAISLEY,14,2.08,29.12,SIN_CLIENTE,UNITED KINGDOM,3,2,1
557569,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,1.65,19.799999999999997,12474,GERMANY,6,1,1
553718,21557,SET OF 6 FUNKY BEAKERS,1,5.79,5.79,SIN_CLIENTE,UNITED KINGDOM,5,2,0
549577,20977,36 PENCILS TUBE WOODLAND,16,1.25,20.0,14286,UNITED KINGDOM,4,0,1
550496,21733,RED HANGING HEART T-LIGHT HOLDER,1,5.79,5.79,SIN_CLIENTE,UNITED KINGDOM,4,0,0
571683,23470,CARD HOLDER LOVE BIRD LARGE,4,6.25,25.0,15140,UNITED KINGDOM,10,1,1
559015,20914,SET 5 RED RETROSPOT LID GLASS BOWLS,32,2.55,81.6,13098,UNITED KINGDOM,7,1,1
544368,22522,CHILDS GARDEN FORK BLUE,6,0.85,5.1,14057,UNITED KINGDOM,2,4,0
555095,22628,PICNIC BOXES SET OF 3 RETROSPOT,4,4.95,19.8,12540,SPAIN,5,1,1
578844,85066,CREAM SWEETHEART MINI CHEST,1,24.96,24.96,SIN_CLIENTE,UNITED KINGDOM,11,4,1
538722,22118,JOY WOODEN BLOCK LETTERS,2,4.95,9.9,17975,UNITED KINGDOM,12,1,1
545308,21905,MORE BUTTER METAL SIGN,1,2.1,2.1,14656,UNITED KINGDOM,3,1,0
